2023-01-31T16:23:30.774+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration nstring -> org.hibernate.type.BasicTypeReference@5bfdc53d
2023-01-31T16:23:30.774+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration characters -> org.hibernate.type.BasicTypeReference@63344214
2023-01-31T16:23:30.775+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration char[] -> org.hibernate.type.BasicTypeReference@63344214
2023-01-31T16:23:30.775+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration [C -> org.hibernate.type.BasicTypeReference@63344214
2023-01-31T16:23:30.775+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@6e77fbcc
2023-01-31T16:23:30.775+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration [Ljava.lang.Character; -> org.hibernate.type.BasicTypeReference@6e77fbcc
2023-01-31T16:23:30.775+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration Character[] -> org.hibernate.type.BasicTypeReference@6e77fbcc
2023-01-31T16:23:30.775+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration text -> org.hibernate.type.BasicTypeReference@23d951e0
2023-01-31T16:23:30.776+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration ntext -> org.hibernate.type.BasicTypeReference@16b8bc8b
2023-01-31T16:23:30.776+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration clob -> org.hibernate.type.BasicTypeReference@57dd78aa
2023-01-31T16:23:30.776+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@57dd78aa
2023-01-31T16:23:30.776+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration nclob -> org.hibernate.type.BasicTypeReference@6a54006
2023-01-31T16:23:30.776+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@6a54006
2023-01-31T16:23:30.776+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@6f9a5763
2023-01-31T16:23:30.777+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@3c15f2ff
2023-01-31T16:23:30.777+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@b1c5ff
2023-01-31T16:23:30.777+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@2cb8009f
2023-01-31T16:23:30.777+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@11a46b24
2023-01-31T16:23:30.777+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@2b5e1e5
2023-01-31T16:23:30.777+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration Duration -> org.hibernate.type.BasicTypeReference@c255271
